"CODE","Region","Production mode","Year","Treatment","Treatment_Group","Rendement","Proteine","TGW.g.","Nombre.Plants.avg"
"BT07","Chablais","Conventional with fungicide ","2023","Temoin non traite","Control",24.1,13.7,37.72,56.5
"BT07","Chablais","Conventional with fungicide ","2023","Tillecur","Tillecur",24.3,13.9,38.17,44.5
"BT07","Chablais","Conventional with fungicide ","2023","Thermoseed","ThermoSeed",24.3,14.2,38.18,40
"BF01","Nord","Conventional without fungicide ","2024","Tillecur","Tillecur",24.79,12.3,27.77,39.75
"BF11","Nord","Conventional without fungicide ","2024","Temoin non traite","Control",24.79,13.7,30.48,50
"BF10","Centre - Pied du Jura","Organic","2024","Acide fluvique et humique","Other alternatives",28.61,10.7,41.03,41.25
"BF10","Centre - Pied du Jura","Organic","2024","Thermoseed","ThermoSeed",29.6,13.3,37.07,55
"BF01","Nord","Conventional without fungicide ","2023","Evonta","E-beam",29.63,9.7,41.43,33.25
"BT05","Chablais","Organic","2022","Tillecur","Tillecur",30.06,16.4,27.04,NA
"BT16","Nord","Conventional without fungicide ","2024","Conventionnel","Synthetic",30.36,13.7,36.59,54.5
"BT16","Nord","Conventional without fungicide ","2024","Evonta","E-beam",30.5,12.7,36,53.25
"BT16","Nord","Conventional without fungicide ","2024","Temoin non traite","Control",31,13.5,35.97,57
"BT18","Broye","Organic","2024","Evonta","E-beam",31,11.7,36.17,74.25
"BT18","Broye","Organic","2024","Temoin non traite","Control",31,12.8,38.34,67.25
"BT19","Nord","Organic","2024","Thermoseed","ThermoSeed",31,13.1,34.21,84.75
"BF10","Centre - Pied du Jura","Organic","2024","Temoin non traite","Control",32.14,12.6,37.41,53.5
"BF01","Nord","Conventional without fungicide ","2023","Thermoseed","ThermoSeed",32.55,10.2,43.27,33.5
"BT05","Chablais","Organic","2022","Temoin non traite","Control",32.68,13.9,29,NA
"BF11","Nord","Conventional without fungicide ","2024","Conventionnel","Synthetic",33.05,11.9,33.93,51
"BT01","Chablais","Conventional with fungicide ","2024","Tillecur","Tillecur",33.17,12,30,51
"BT16","Nord","Conventional without fungicide ","2024","Thermoseed","ThermoSeed",33.33,14,34.01,54.25
"BT01","Chablais","Conventional with fungicide ","2024","Conventionnel","Synthetic",33.41,11.4,31.44,45.75
"BF03","Nord","Conventional without fungicide ","2024","Evonta","E-beam",33.5,12.6,37.37,44.5
"BT20","Centre - Pied du Jura","Conventional without fungicide ","2024","Tillecur","Tillecur",34.23,13.1,34.76,51.5
"BF05","Nord","Conventional without fungicide ","2024","Conventionnel","Synthetic",34.31,12.1,34.45,40.25
"BF01","Nord","Conventional without fungicide ","2023","Conventionnel","Synthetic",34.41,10.1,42,44
"BF01","Nord","Conventional without fungicide ","2023","Temoin non traite","Control",34.61,10.6,43.65,34.25
"BT19","Nord","Organic","2024","Taux vibratoire","Other alternatives",35,12.5,34.68,85
"BF11","Nord","Conventional without fungicide ","2024","Evonta","E-beam",35.12,12.2,35.3,55
"BF11","Nord","Conventional without fungicide ","2024","Thermoseed","ThermoSeed",35.12,12.5,35.68,48.75
"BF11","Nord","Conventional without fungicide ","2024","Tillecur","Tillecur",35.12,12.6,34.15,53.5
"BF01","Nord","Conventional without fungicide ","2023","Tillecur","Tillecur",35.15,9.6,42.58,41.5
"BF09","Centre - Pied du Jura","Conventional without fungicide ","2024","Temoin non traite","Control",35.55,12.8,37.07,43
"BT01","Chablais","Conventional with fungicide ","2024","Thermoseed","ThermoSeed",35.6,11.1,31.53,46.25
"BT18","Broye","Organic","2024","Tillecur","Tillecur",36,12.4,38.3,68
"BF09","Centre - Pied du Jura","Conventional without fungicide ","2024","Conventionnel","Synthetic",36.72,12.6,37.17,44
"BF05","Nord","Conventional without fungicide ","2024","Tillecur","Tillecur",36.76,12.7,34.08,38.75
"BF09","Centre - Pied du Jura","Conventional without fungicide ","2024","Evonta","E-beam",36.99,11.4,37.28,40
"BT19","Nord","Organic","2024","Evonta","E-beam",37,13.2,30.93,85.75
